created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Mon Nov 21 11:14:46 +0000 2022,1594650521427935232,"@Askrlfess Hmm aku agak sedikit relate sama fuji. Semua keluarga udah kenal sama mas pacar, pernah dibawa ke kondangan sodara sampe jadi pagar bagus. Tapi aku belum bisa dikenalin ke keluarganya seleluasa aku mengenalkan dia karena.... Keluarganya dipandang. Punya kumpulan pengajian---",37,17,80,1112,in,990610227182489600,1594633392746041349,teteh____,https://twitter.com/teteh____/status/1594650521427935232,Askrlfess
Mon Nov 21 10:17:34 +0000 2022,1594636129935929345,@Askrlfess bodoamat anjing perasaan fuji udah gua mute ini malah diplesetin namanya uanjengg,3,2,6,619,in,1316939403986497536,1594633392746041349,twezcreams,https://twitter.com/twezcreams/status/1594636129935929345,Askrlfess
Mon Nov 21 10:13:26 +0000 2022,1594635087903363073,"@Askrlfess Ini kek nya tiap Fuji ada di suatu acara, keluarga halilintar gak dateng gitu ya? Makanya pas ulang tahun atta thoriq gak bawa Fuji tapi aku kasian juga sama thoriq dia keliatan tulus banget cinta sama Fuji tapi ya gitu...",6,8,15,1071,in,1280083111552794637,1594633392746041349,yayaaa10_,https://twitter.com/yayaaa10_/status/1594635087903363073,Askrlfess
Fri Nov 18 12:44:41 +0000 2022,1593585988378525697,"Mt. Fuji, Japan 🇯🇵 https://t.co/xRZOytgjg5",24,14,1005,4282,in,1038150281794646017,1593585988378525697,earthcurated,https://twitter.com/earthcurated/status/1593585988378525697,
Mon Nov 14 00:32:03 +0000 2022,1591952064871292929,lanjutan yg kemaren perbedaan film fresh vs expired:  1. expired lebih grainy 2. expired lebih gelap walau metering normal 3. fresh lebih tajem 4. fresh lebih segar 5. expired lebih kadaluarsa  kiri: Fuji Pro 400H kanan: Fuji Natura 1600 kamera sama: Leica M6 + 35 1.4 voigt https://t.co/0zyI2lQf2d,29,17,201,1688,in,65056227,1591952064871292929,govoes,https://twitter.com/govoes/status/1591952064871292929,
Tue Nov 08 18:51:07 +0000 2022,1590054323399970817,Der Berg Fuji in Japan. https://t.co/1m05TyOozC,1,1,32,299,in,69248730,1590054323399970817,DLR_next,https://twitter.com/DLR_next/status/1590054323399970817,
Tue Nov 08 07:38:37 +0000 2022,1589885085226258432,"kalo misalnya ada kesempatan ke Jepang, kalian akan bawa kamera film atau kamera digital?  -  shot on Zeiss Ikon + 50mm f1.4 Summilux + Fuji Pro400H https://t.co/YHDzwChlYk",10,54,43,620,in,65056227,1589885085226258432,govoes,https://twitter.com/govoes/status/1589885085226258432,
Sat Nov 05 03:36:52 +0000 2022,1588737080888524800,"Finally made it to 60K followers! ✨  Terima kasih ya untuk semua teman-teman yang sudah berkenan follow, yang sudah hadir dari dulu maupun barusan, tetep semangat motret ataupun ngedit ya, sehat-sehat!   Tak lupa menyertakan foto Gunung paling keren se-Jepang, Fuji san! 🗻 https://t.co/rBngcB0DCX",6,24,36,551,in,326059312,1588737080888524800,kevinpramudya_,https://twitter.com/kevinpramudya_/status/1588737080888524800,
Thu Nov 03 21:40:47 +0000 2022,1588285085031112704,👀 Fuji TIARA ix by @xmstyle (ig) https://t.co/3dAOV4R90L,9,2,61,497,in,839870975105630208,1588285085031112704,FILMWAVE_,https://twitter.com/FILMWAVE_/status/1588285085031112704,xmstyle
Mon Oct 31 16:27:23 +0000 2022,1587119051930832897,"Boy Viewing Mount Fuji by Katsushika Hokusai, 1839 https://t.co/i1B0yRT5wF",2,3,65,333,in,914926030657327107,1587119051930832897,marysia_cc,https://twitter.com/marysia_cc/status/1587119051930832897,
Wed Oct 26 06:05:35 +0000 2022,1585150630179414016,📸 Pongnathee Kluaythong - Mount Fuji https://t.co/ENIV2km0Yw,4,3,157,526,in,1344373664884682755,1585150630179414016,Iconic___Images,https://twitter.com/Iconic___Images/status/1585150630179414016,
Sun Oct 23 03:40:50 +0000 2022,1584027037937078272,"Fuji pada hari ini. Selalunya, dalam setahun tak sampai 100 hari boleh nampak Fuji, mungkin 80 hari sahaja https://t.co/9M4NtKQ516",6,6,101,583,in,740134898908811264,1584027037937078272,kamalzharif,https://twitter.com/kamalzharif/status/1584027037937078272,
Sat Oct 15 02:59:30 +0000 2022,1581117534048133120,Confirmed!  Info baru Kny! Swordsmith Village Arc (Season 3) akan diungkap tgl 10 Desember nanti setelah penayangan Mugen Train Arc (7 Episode) &amp  Mugen Train (movie) di Fuji TV. https://t.co/8kiD5bAJLB,92,38,161,918,in,1317673513654775810,1581117534048133120,onifess,https://twitter.com/onifess/status/1581117534048133120,
Fri Oct 14 06:36:21 +0000 2022,1580809719224356865,"Yusaku Kamekura, Fuji Film 1950s via MoMA https://t.co/5z2ZaGovuE https://t.co/m8srzve89p",2,2,43,364,in,947185949406003200,1580809719224356865,DesignReviewed,https://twitter.com/DesignReviewed/status/1580809719224356865,
Tue Oct 11 08:24:52 +0000 2022,1579749863486820353,SO DES NE. SAIKO YAMAMOTA SAN. DO IT FOR FUJI-Sama @Orix_Buffaloes,54,8,424,3287,in,55184723,1579749863486820353,SimplyAJ10,https://twitter.com/SimplyAJ10/status/1579749863486820353,Orix_Buffaloes
Sun Oct 09 10:11:00 +0000 2022,1579051796269600768,"Mount Fuji from Yoshida, by Kasamatsu Shiro, 1951  #shinhanga https://t.co/Ufw853dDvJ",2,1,114,774,in,910305551220826113,1579051796269600768,JapanTraCul,https://twitter.com/JapanTraCul/status/1579051796269600768,
Thu Oct 06 04:42:49 +0000 2022,1577882042754293763,JGSDF Mt Fuji AH-1S Cobra https://t.co/3IzoCyQhhp,1,2,71,492,in,122744704,1577882042754293763,kadonkey,https://twitter.com/kadonkey/status/1577882042754293763,
Tue Oct 04 03:50:37 +0000 2022,1577144130106322945,@tanyakanrl sebenernya agak valid tp karena fuji yg ngomong: SOTOY,5,12,6,502,in,1250794212150239238,1577142728336343041,zona_ngeluh,https://twitter.com/zona_ngeluh/status/1577144130106322945,tanyakanrl
Sat Oct 01 02:37:00 +0000 2022,1576038440377888768,APAKAH KAMU TIPE ORG YG MALES NGEDIT FOTO?  mungkin bs belajar untuk memaksimalkan settingan dalam kamera.  berikut settingan favorit kamera Fuji XT4 ku:  Film Simulation: Classic Negative Highlights: -2 Shadow: -2 WB: AWB  Kondisi lighting semi-indoor.  #SOOC  berikut hasilnya: https://t.co/ODsbw4FEkR,22,30,134,1026,in,65056227,1576038440377888768,govoes,https://twitter.com/govoes/status/1576038440377888768,
Fri Sep 30 16:57:48 +0000 2022,1575892680709533696,"@mrpostwin @d_harahap99 @zulhier blum lgi si fuji sering di katain n di sindir"" netizen perkara dia petakilan n g berhijab, sedangkan kluarga gledek agamanya trlihat kuat 😂""",4,8,8,687,in,1257232861,1575788752223449088,pasteleria27,https://twitter.com/pasteleria27/status/1575892680709533696,"mrpostwin, d_harahap99, zulhier"
Mon Sep 26 03:11:04 +0000 2022,1574235073641324545,@convomf GUNUNG FUJI MANA ADA DI SALATIGA,2,1,1,741,in,1384361672278560768,1574233581442203648,asahiseamour,https://twitter.com/asahiseamour/status/1574235073641324545,convomf
Mon Sep 26 03:07:48 +0000 2022,1574234252450807808,@convomf gunung fuji apaan anjer di salatiga,0,1,0,909,in,1082483860154142720,1574233581442203648,hannihaei,https://twitter.com/hannihaei/status/1574234252450807808,convomf
Thu Sep 15 01:49:24 +0000 2022,1570228258603700225,Tokyo Tekno Tribe (MASA｜K.U.R.O.｜Kuni) @ Rainbow 2000 Mt.Fuji (1996)  #tbt ⏳ https://t.co/uwhnXW8mve,28,5,90,562,in,2429251832,1570228258603700225,RavePartyJapan,https://twitter.com/RavePartyJapan/status/1570228258603700225,
Wed Sep 14 08:53:03 +0000 2022,1569972485428490240,@hatespij Fuji jadi Bjorka ga sih,1,4,15,836,in,1093911083352346624,1569968810941349890,liminalmilataka,https://twitter.com/liminalmilataka/status/1569972485428490240,hatespij
Wed Sep 14 08:38:27 +0000 2022,1569968810941349890,Selama bukan Fuji yang jadi Ariel gue ga akan komplen apa2,624,433,3305,26117,in,1073958221100965888,1569968810941349890,hatespij,https://twitter.com/hatespij/status/1569968810941349890,
Sun Sep 11 04:01:48 +0000 2022,1568812025047912448,Fuji photos. 😍  #ToyotaGAZOORacing #GoHyper #6HFuji https://t.co/SUsC9O2ZvU,2,2,67,419,lt,443804285,1568812025047912448,TGR_WEC,https://twitter.com/TGR_WEC/status/1568812025047912448,
Thu Sep 01 12:00:28 +0000 2022,1565308607192875008,"Fuji, Japan 🇯🇵 https://t.co/ZnQ4MBXZJ0",4,10,508,2051,in,1038150281794646017,1565308607192875008,earthcurated,https://twitter.com/earthcurated/status/1565308607192875008,
Wed Aug 31 14:14:37 +0000 2022,1564979977602224130,"Dapet kabar duka dari sensei disini bahwa salah satu pemagang Indonesia mengakhiri hidupnya kemarin malam, almarhum baru 3 bulan sampai di Jepang, memang satu tahun pertama disini menurut saya adalah yang paling berat, iya Jepang tak sekedar soal sakura, tokyo, fuji, atau anime. https://t.co/8tDwOiEdlN",720,374,4971,25713,in,326059312,1564979977602224130,kevinpramudya_,https://twitter.com/kevinpramudya_/status/1564979977602224130,
Tue Aug 30 00:53:34 +0000 2022,1564416001701199872,"@Askrlfess standar ganda lu semua wkwk bukan fans fuji tp beda bgt repnya, kmrn dia dihujat abis abisan yg ini suruh posthink blablabla",0,0,9,822,in,1504727047629082624,1564398607339360256,ccloudstar,https://twitter.com/ccloudstar/status/1564416001701199872,Askrlfess
Tue Aug 30 00:29:13 +0000 2022,1564409870262353920,@Askrlfess Komenan di sini beda banget sama yg postingan soal si fuji wkwk Rakyat twitter emang jago bgt soal standar ganda,5,12,36,1017,in,1107090027027156992,1564398607339360256,euphorianme,https://twitter.com/euphorianme/status/1564409870262353920,Askrlfess
Mon Aug 29 14:30:10 +0000 2022,1564259116448591872,"@Askrlfess komennya kenapa deh? netizen twt belagak sok apa? kek gapernah salty aja liat semacem marcel dan celine. ga bela fuji ga bela siapapun. tp berasa sok suci bgt kalean,kek merasa gapernah julitin org aja mau sekelas artis atau ga. sumpah aneh.",7,27,22,744,in,1338116169476177920,1564231418892263424,sopeternitys,https://twitter.com/sopeternitys/status/1564259116448591872,Askrlfess
Mon Aug 29 14:28:29 +0000 2022,1564258693142564864,"@Askrlfess woah fuji, pdhl udh banyak yg udh nganggep dirimu hype gara² org meninggal, eh ditambah gini, luarbiasa deh, km pemberani",2,16,28,3989,in,2420744467,1564231418892263424,NESVERLAND,https://twitter.com/NESVERLAND/status/1564258693142564864,Askrlfess
Mon Aug 29 14:09:39 +0000 2022,1564253951259598849,@Larassdwwi @kazuhauw @Askrlfess tapi yg disorot fuji pdhl lebih ada yg sakit komennya wkkw,0,5,0,1020,in,1459777044389138433,1564231418892263424,fenifranss,https://twitter.com/fenifranss/status/1564253951259598849,"Larassdwwi, kazuhauw, Askrlfess"
Mon Aug 29 13:46:12 +0000 2022,1564248053410058240,"@Fredomanss @Larassdwwi @Askrlfess Dia ga bilang normalise anjir, dia cuma bilang kelakuan fuji ga cuma baru ini alias udh dri dlu sifatnyaaaaaa""",0,2,1,507,in,1235441674198732800,1564231418892263424,AhoyyCips,https://twitter.com/AhoyyCips/status/1564248053410058240,"Fredomanss, Larassdwwi, Askrlfess"
Mon Aug 29 12:44:19 +0000 2022,1564232478671323138,"@Askrlfess Padahal yang lain ada yang komennya intinya kek gitu, emang dasar Fuji lagi apes wkwk",1,17,29,2514,in,1226530533796012032,1564231418892263424,koalamerahjambu,https://twitter.com/koalamerahjambu/status/1564232478671323138,Askrlfess
Tue Aug 23 13:36:13 +0000 2022,1562071212276457472,Fuji X-T1 / Nokton 50mm f1.2 asph. https://t.co/s0G5bPjhDM,0,2,43,340,in,1280674689438773249,1562071212276457472,PhotoHiro1,https://twitter.com/PhotoHiro1/status/1562071212276457472,
Tue Aug 16 15:53:32 +0000 2022,1559569052632317955,Mt Fuji 🗻 Japan https://t.co/sWZg8cqbpl,6,6,196,1277,in,1367826956054634500,1559569052632317955,_magical_nature,https://twitter.com/_magical_nature/status/1559569052632317955,
Tue Aug 16 05:42:59 +0000 2022,1559415403398307841,"@convomfs Lah, bukannya itu sarkas ya? Itu yg bagian fuji nya ditaro di belakang kan?",0,0,2,811,in,1508636450715160577,1559414716203954176,phiyton,https://twitter.com/phiyton/status/1559415403398307841,convomfs
Sat Aug 13 03:16:20 +0000 2022,1558291334804299776,"DIA MENYELAM DI PALUNG IBU DAN BERSEMEDI DI GOA IBU AGAR BISA MENYELAMATKAN DUNIA DARI DEDDY CORBUZIER. MENGHABISI FUJI, MENYELAMATKAN PENYU DAN MEMBUNUH 😍🥵‼️ https://t.co/7RhbERcc6r",57,20,121,727,in,1366265617276231682,1558291334804299776,JISOOSUKOHARJ0,https://twitter.com/JISOOSUKOHARJ0/status/1558291334804299776,
Fri Aug 12 04:22:24 +0000 2022,1557945574531272704,"@tanyakanrl sebenernya sih banyak orang jadiin kata najis itu sebagain becandaan. tapi becandaan tongkrongan. nah fuji nih masalahnya belum bisa bedain mana yang pantas jadi becandaan publik, mana yang becandaan tongkrongan. kebawa dah tuh masa masa dia belum jadi seleb",2,7,21,1079,in,1071346736503771136,1557944986997383169,mycutieapple,https://twitter.com/mycutieapple/status/1557945574531272704,tanyakanrl
Fri Aug 12 03:03:01 +0000 2022,1557925597594124290,"Mt Fuji 🗻, Japan 🗾 https://t.co/9ZIz4yXLmy",5,2,97,520,in,1367826956054634500,1557925597594124290,_magical_nature,https://twitter.com/_magical_nature/status/1557925597594124290,
